transcript_id,logFC,t,P.Value,adj.P.Val,database_source
NR_001318.1,0.101,0.2408,0.4172460328109213,0.731320429508565,RefSeq
NR_001030.1,0.1333,0.3066,0.007597571874099977,0.051,RefSeq
XM_001331.1,-0.1572,-0.4348,0.45142470108657334,0.839538624528065,RefSeq
NM_001112.1,0.1008,0.2988,0.07103293993389352,0.11354394223169062,RefSeq
NR_001061.1,-0.6817,-1.7964,0.5294043980729742,1.0,RefSeq
ENST00000001351,1.01,3.205,1.7274702828992572e-07,3.632295961936733e-07,ENSEMBL
NM_001334.1,0.3297,0.6099,0.30103214362293623,0.46855994158690295,RefSeq
ENST00000001081,0.3486,0.8089,0.4503247104707568,0.5655545552460317,ENSEMBL
NONCODEG001025,-2.9925,-8.6095,2.100217069294719e-10,4.3462585709911915e-10,lncRNAWiki
uc1407xyz.1,-0.1361,-0.3455,0.9468653143064749,1.0,UCSC Genes
NM_016951.3,-1.98,-6.42,2.8e-09,2.4e-07,RefSeq
NR_001151.1,-0.3876,-0.8665,0.12207370735299,0.16545849727876183,RefSeq
ENST00000001363,0.1439,0.354,0.45988481873720854,0.8394706645021296,ENSEMBL
ENST00000001041,1.4602,4.4194,0.002199964258641072,0.006920985526724431,ENSEMBL
NONCODEG001328,-1.7539,-5.6667,1.9882446563307914e-06,8.648380694759748e-06,lncRNAWiki
XM_001345.1,1.1122,3.5667,0.0011015028643406733,0.005411972056151067,RefSeq
NM_001452.1,-0.6865,-1.7204,0.754693267381953,0.8933240629438005,RefSeq
NONCODEG01443,-1.45,-4.81,2.9e-06,0.00011,lncRNAWiki
ENST00000001273,0.2919,0.5706,0.02875567159979663,0.05300346251254263,ENSEMBL
ENST00000001365,-0.1932,-0.397,0.8401119337176389,1.0,ENSEMBL
NONCODEG001447,-2.1659,-6.503,0.001460636429358344,0.005891898247939677,lncRNAWiki
ENST00000001448,-1.8726,-5.8155,2.4782758496885933e-06,4.376076525521559e-06,ENSEMBL
NM_001237.1,-1.5245,-4.3287,1.309646009658003e-12,6.269832690573184e-12,RefSeq
NONCODEG001313,0.1909,0.4577,0.7504238832782126,1.0,lncRNAWiki
MINT001033,0.1818,0.3822,0.9232211965021916,1.0,miTranscriptome
ENST00000001418,-2.2014,-6.7247,9.17741333821952e-10,2.6273942046562866e-09,ENSEMBL
XM_001454.1,0.6939,1.8124,0.5330664296009462,0.8759021867277414,RefSeq
XM_001168.1,0.039,0.0767,0.5461749844077364,1.0,RefSeq
ENST00000001058,-0.1006,-0.2327,0.01566832908589519,0.051,ENSEMBL
AV_01291,0.1584,0.3751,0.3507315001938493,0.6586465493173016,Ace View
uc1432xyz.1,1.581,5.0153,4.821758079836262e-12,9.901669832612257e-12,UCSC Genes
NM_001293.1,-1.5259,-4.3223,3.5555512624831913e-09,6.039923499024477e-09,RefSeq
ENST00000001397,-2.2534,-8.1631,1.7049164135966342e-12,6.198554194544074e-12,ENSEMBL
ENST00000001130,0.2904,0.5703,0.6691716999261631,0.8643475009010204,ENSEMBL
NM_003722.5,1.95,6.84,8.9e-10,8.2e-08,RefSeq
AV_01290,-0.1086,-0.2803,0.20323636411980406,0.22925482055687194,Ace View
XM_001366.1,-2.6416,-8.33,3.3213727849117346e-11,1.5345034111706638e-10,RefSeq
ENST00000001027,-0.2258,-0.457,0.8280161000881441,1.0,ENSEMBL
NONCODEG001166,0.2597,0.5062,0.7892578179905549,1.0,lncRNAWiki
AV_01020,0.3656,0.7106,0.8429648927049338,1.0,Ace View
NONCODEG001341,0.0978,0.2487,0.6494023788468738,1.0,lncRNAWiki
XM_001050.1,0.8396,2.2288,0.6197112352679679,0.8067663485134127,RefSeq
NONCODEG001442,0.2545,0.6524,0.654752151645536,1.0,lncRNAWiki
ENST00000001142,-0.0505,-0.1022,0.7660850145236152,1.0,ENSEMBL
AV_TGFB3_01,-2.08,-6.82,8.4e-10,7.7e-08,Ace View
NM_001034.1,-2.9513,-10.0625,6.223222138077213e-06,8.34017810174736e-06,RefSeq
NM_006147.4,2.85,9.42,1.2e-15,2.4e-13,RefSeq
NM_170674.3,1.12,3.82,9.5e-05,0.0026,RefSeq
NM_001372.1,1.4655,5.551,7.119915111821743e-09,2.1984262022871843e-08,RefSeq
ENST00000244050,-2.42,-8.15,4.1e-13,6.5e-11,ENSEMBL
NONCODEG001029,-1.2188,-3.9332,0.00028477818448639406,0.0005883954761070329,lncRNAWiki
MINT001139,-0.3568,-0.7982,0.43827905086305674,0.5634955275869048,miTranscriptome
MINT001088,0.1264,0.3558,0.06855802738875731,0.09509533612585627,miTranscriptome
ENST00000001367,0.7873,1.6768,0.22579016046678346,0.40698065971525915,ENSEMBL
NM_001150.1,0.0348,0.0807,0.5579122210018143,0.9880042565001395,RefSeq
NR_001012.1,0.3323,0.6162,0.0849793844472716,0.10846637560153272,RefSeq
XM_001105.1,1.9392,7.2668,9.525759287832452e-07,4.0852536647806486e-06,RefSeq
ENST00000378684,-1.64,-5.45,4.1e-08,2.7e-06,ENSEMBL
NONCODEG001161,-0.8122,-2.0285,0.5804784202771093,0.7893156891345707,lncRNAWiki
ENST00000001035,-1.8159,-5.5905,5.303337661033375e-08,7.401440154178792e-08,ENSEMBL
ENST00000001451,1.5602,4.3736,3.802703916031104e-07,1.4615118128271005e-06,ENSEMBL
ENST00000001219,0.3345,0.7113,0.49987998300524883,0.6271051159487566,ENSEMBL
NM_001280.1,-0.2009,-0.3778,0.2866144250325286,0.4979509699458185,RefSeq
XM_001440.1,1.4828,5.2385,4.947655094562175e-08,2.1743318867777759e-07,RefSeq
ENST00000001036,-0.0866,-0.2582,0.1385052336145707,0.2133683489910141,ENSEMBL
MINT012455,-1.61,-5.32,5.5e-08,3.5e-06,miTranscriptome
NONCODEG001408,0.4273,0.8362,0.5011623492521574,0.7434618388603998,lncRNAWiki
NR_001003.1,2.2605,6.7439,3.039334141010639e-05,5.7471829251913535e-05,RefSeq
ENST00000001195,-0.6764,-1.5117,0.39856025157981595,0.7665753679756163,ENSEMBL
NM_001348.1,0.2688,0.7477,0.7581251527668441,1.0,RefSeq
NONCODEG001309,0.2858,0.7948,0.8501810066014407,1.0,lncRNAWiki
NM_001298.1,1.5286,5.3425,6.306738048473342e-09,1.4557955691522902e-08,RefSeq
NONCODEG001234,1.7553,6.4473,5.511085845547305e-05,0.00017961861049641835,lncRNAWiki
XM_001247.1,0.4795,1.0943,0.3338255128636729,0.5977043857639336,RefSeq
NM_001274.1,0.5429,1.5194,0.15356114134984447,0.281964410314062,RefSeq
NONCODEG001261,-2.1424,-7.1493,2.3324619490513048e-05,4.7827294052460856e-05,lncRNAWiki
